experimento,estrategia,carga,taxa,repeticao,tentativa,ordem,timestamp,throughput,requisicoes,lat_media,lat_p50,lat_p90,lat_p95,lat_p99,lat_max,leitura_p50,leitura_p95,leitura_p99,escrita_p50,escrita_p95,escrita_p99,taxa_erros,descartadas,taxa_acerto_cache,nginx_hits,respostas_304,api_requisicoes,api_ops_banco,sql_total,sql_select,api_cpu_media,api_cpu_max,api_mem_media_mib,api_mem_max_mib,pg_cpu_media,redis_cpu_media,redis_mem_media_mib,nginx_cpu_media,k6_cpu_media,k6_cpu_max,host_swap_mib,host_mem_livre_pct,sustentavel
latencia,memory,escrita,450,4,1,37,2026-09-23T04:23:36.717Z,449.9984,27001,1.6265,1.406,1.9232,2.8294,7.2855,37.9513,0.6363,1.5229,4.6811,1.4262,2.9906,7.4674,0,0,0.127,0,0,27001,27223,126314,55513,46.95,54.25,148.01,149.4,15.49,0.72,21.26,3.2,14.58,40.2,0,47,1
latencia,memory,mista,450,4,1,38,2026-09-23T04:25:14.620Z,449.999,27001,3.1885,1.395,2.1484,4.4771,48.2506,1001.9505,0.6153,2.4439,50.8542,1.6428,5.7738,47.262,0,0,0.3916,0,0,27001,24431,87075,47323,40.43,51.17,167.06,187.6,13.76,0.75,20.33,3.39,15.33,38.86,0,46,1
latencia,http,mista,450,4,1,39,2026-09-23T04:26:52.600Z,449.998,27001,1.031,0.9241,1.9947,2.2835,4.2381,13.847,0.1087,0.7781,1.2437,1.6751,2.6667,5.6299,0,0,0.8632,11571,958,15430,15549,71862,32118,31.82,40.24,130.26,132.2,10.05,0.75,20.06,3.35,14.35,18.76,0,47,1
latencia,redis,leitura,450,4,1,40,2026-09-23T04:28:30.552Z,450.0079,27001,1.3069,0.3842,2.0975,2.6107,3.6745,1501.926,0.3591,1.841,2.8805,2.4969,3.6224,6.2028,0,0,0.6642,0,0,27001,15446,34571,26667,27.7,35.88,131.38,132.9,9.02,2.72,53.38,3.63,15.77,43.15,0,46,1
latencia,http,escrita,450,4,1,41,2026-09-23T04:30:36.280Z,450.0003,27001,1.5167,1.4307,1.9131,2.3796,5.9631,21.2883,0.1124,0.9085,1.7095,1.4556,2.5061,6.1764,0,0,0.78,2095,44,24906,24977,122314,51513,45.52,53.09,145.75,146.6,14.61,0.69,23.68,3.24,13.93,18.87,0,48,1
latencia,none,leitura,450,4,1,42,2026-09-23T04:32:14.304Z,450.0018,27001,1.2561,0.7365,1.8481,2.3248,3.5022,502.6729,0.7204,1.4011,3.0474,2.2131,3.1275,5.6188,0,0,,0,0,27001,31911,67209,59305,31.73,36.7,127.38,129.2,13.44,0.76,21.49,3.62,15.03,22.23,0,47,1
latencia,none,mista,450,4,1,43,2026-09-23T04:33:52.425Z,450.0068,27001,1.3625,1.3582,1.9174,2.26,4.905,501.7027,0.6395,1.3909,3.556,1.6087,2.5634,5.6826,0,0,,0,0,27001,29695,97582,57835,41.74,50.85,134.33,135.9,14.8,0.73,20.54,3.45,14.42,20.97,0,47,1
latencia,none,escrita,450,4,1,44,2026-09-23T04:35:30.392Z,450.0008,27001,1.5603,1.4048,1.8954,2.4394,6.1651,35.2262,0.6374,1.4883,4.1069,1.4258,2.5187,6.2374,0,0,,0,0,27001,27566,126998,56197,46.8,54.9,149.87,150.7,15.41,0.72,20.06,3.18,14.73,40.77,0,46,1
latencia,memory,leitura,450,4,1,45,2026-09-23T04:37:08.337Z,450.0017,27001,1.9977,0.2825,2.0689,2.6765,19.8758,1001.4673,0.2664,1.5958,18.1863,2.4484,3.8463,20.9841,0,0,0.6637,0,0,27001,15474,34616,26721,24.84,37.11,183.92,211.8,9.63,0.83,20.08,3.78,16.46,38.02,0,48,1
latencia,redis,escrita,450,4,1,46,2026-09-23T04:38:46.227Z,449.9953,27001,1.7117,1.5213,2.1565,2.7729,6.48,34.758,0.7561,1.928,4.6468,1.5459,2.909,6.5233,0,0,0.1284,0,0,27001,27220,126304,55503,51.14,57.5,150.21,152,15.46,2.48,24,3.25,14.09,19.29,0,45,1
latencia,redis,mista,450,4,1,47,2026-09-23T04:40:24.104Z,450.0069,27001,1.6154,1.5372,2.1726,2.5514,5.8005,1002.0619,0.7322,1.6934,3.8274,1.7845,3.0623,6.7338,0,0,0.3904,0,0,27001,24443,87082,47332,42.69,50.79,135.91,137.4,13.71,2.65,39.26,3.39,14.22,20.44,0,47,1
latencia,http,leitura,450,4,1,48,2026-09-23T04:42:01.957Z,450.0175,27001,0.5813,0.1663,1.8749,3.192,4.8217,15.3889,0.1598,1.1061,1.5792,3.1876,5.3604,6.6002,0,0,0.8976,21835,2736,5166,5295,18758,10854,16.13,24.79,122.8,124.1,5.15,1.01,23.38,4.34,20.21,32.08,0,47,1
